"original_feature","seurat_feature","changed"
"MIR1302-10","MIR1302-10",FALSE
"FAM138A","FAM138A",FALSE
"OR4F5","OR4F5",FALSE
"RP11-34P13.7","RP11-34P13.7",FALSE
"RP11-34P13.8","RP11-34P13.8",FALSE
"AL627309.1","AL627309.1",FALSE
"RP11-34P13.14","RP11-34P13.14",FALSE
"RP11-34P13.9","RP11-34P13.9",FALSE
"AP006222.2","AP006222.2",FALSE
"RP4-669L17.10","RP4-669L17.10",FALSE
"OR4F29","OR4F29",FALSE
"RP4-669L17.2","RP4-669L17.2",FALSE
"RP5-857K21.15","RP5-857K21.15",FALSE
"RP5-857K21.1","RP5-857K21.1",FALSE
"RP5-857K21.2","RP5-857K21.2",FALSE
"RP5-857K21.3","RP5-857K21.3",FALSE
"RP5-857K21.4","RP5-857K21.4",FALSE
"RP5-857K21.5","RP5-857K21.5",FALSE
"OR4F16","OR4F16",FALSE
"RP11-206L10.3","RP11-206L10.3",FALSE
"RP11-206L10.5","RP11-206L10.5",FALSE
"RP11-206L10.4","RP11-206L10.4",FALSE
"RP11-206L10.2","RP11-206L10.2",FALSE
"RP11-206L10.9","RP11-206L10.9",FALSE
"AL669831.1","AL669831.1",FALSE
"FAM87B","FAM87B",FALSE
"LINC00115","LINC00115",FALSE
"FAM41C","FAM41C",FALSE
"AL645608.2","AL645608.2",FALSE
"RP11-54O7.16","RP11-54O7.16",FALSE
"RP11-54O7.1","RP11-54O7.1",FALSE
"RP11-54O7.2","RP11-54O7.2",FALSE
"RP11-54O7.3","RP11-54O7.3",FALSE
"SAMD11","SAMD11",FALSE
"AL645608.1","AL645608.1",FALSE
"NOC2L","NOC2L",FALSE
"KLHL17","KLHL17",FALSE
"PLEKHN1","PLEKHN1",FALSE
"C1orf170","C1orf170",FALSE
"RP11-54O7.17","RP11-54O7.17",FALSE
"HES4","HES4",FALSE
"RP11-54O7.11","RP11-54O7.11",FALSE
"ISG15","ISG15",FALSE
"AGRN","AGRN",FALSE
"RP11-54O7.18","RP11-54O7.18",FALSE
"RNF223","RNF223",FALSE
"C1orf159","C1orf159",FALSE
"RP11-465B22.5","RP11-465B22.5",FALSE
"RP11-465B22.8","RP11-465B22.8",FALSE
"TTLL10-AS1","TTLL10-AS1",FALSE
"TTLL10","TTLL10",FALSE
"TNFRSF18","TNFRSF18",FALSE
"TNFRSF4","TNFRSF4",FALSE
"SDF4","SDF4",FALSE
"B3GALT6","B3GALT6",FALSE
"FAM132A","FAM132A",FALSE
"RP5-902P8.12","RP5-902P8.12",FALSE
"UBE2J2","UBE2J2",FALSE
"RP5-902P8.10","RP5-902P8.10",FALSE
"SCNN1D","SCNN1D",FALSE
"ACAP3","ACAP3",FALSE
"PUSL1","PUSL1",FALSE
"CPSF3L","CPSF3L",FALSE
"GLTPD1","GLTPD1",FALSE
"TAS1R3","TAS1R3",FALSE
"DVL1","DVL1",FALSE
"MXRA8","MXRA8",FALSE
"AURKAIP1","AURKAIP1",FALSE
"CCNL2","CCNL2",FALSE
"RP4-758J18.2","RP4-758J18.2",FALSE
"MRPL20","MRPL20",FALSE
"RP4-758J18.13","RP4-758J18.13",FALSE
"ANKRD65","ANKRD65",FALSE
"RP4-758J18.7","RP4-758J18.7",FALSE
"TMEM88B","TMEM88B",FALSE
"RP4-758J18.10","RP4-758J18.10",FALSE
"VWA1","VWA1",FALSE
"ATAD3C","ATAD3C",FALSE
"ATAD3B","ATAD3B",FALSE
"ATAD3A","ATAD3A",FALSE
"TMEM240","TMEM240",FALSE
"SSU72","SSU72",FALSE
"AL645728.1","AL645728.1",FALSE
"C1orf233","C1orf233",FALSE
"RP11-345P4.9","RP11-345P4.9",FALSE
"MIB2","MIB2",FALSE
"MMP23B","MMP23B",FALSE
"CDK11B","CDK11B",FALSE
"RP11-345P4.10","RP11-345P4.10",FALSE
"SLC35E2B","SLC35E2B",FALSE
"RP11-345P4.7","RP11-345P4.7",FALSE
"CDK11A","CDK11A",FALSE
"SLC35E2","SLC35E2",FALSE
"NADK","NADK",FALSE
"GNB1","GNB1",FALSE
"RP1-140A9.1","RP1-140A9.1",FALSE
"CALML6","CALML6",FALSE
"TMEM52","TMEM52",FALSE
"C1orf222","C1orf222",FALSE
"RP11-547D24.1","RP11-547D24.1",FALSE
"GABRD","GABRD",FALSE
"RP11-547D24.3","RP11-547D24.3",FALSE
"PRKCZ","PRKCZ",FALSE
"RP5-892K4.1","RP5-892K4.1",FALSE
"RP11-181G12.2","RP11-181G12.2",FALSE
"C1orf86","C1orf86",FALSE
"AL590822.2","AL590822.2",FALSE
"AL590822.1","AL590822.1",FALSE
"RP11-181G12.5","RP11-181G12.5",FALSE
"RP11-181G12.4","RP11-181G12.4",FALSE
"SKI","SKI",FALSE
"MORN1","MORN1",FALSE
"AL589739.1","AL589739.1",FALSE
"RER1","RER1",FALSE
"PEX10","PEX10",FALSE
"PLCH2","PLCH2",FALSE
"RP3-395M20.2","RP3-395M20.2",FALSE
"RP3-395M20.3","RP3-395M20.3",FALSE
"PANK4","PANK4",FALSE
"HES5","HES5",FALSE
"RP3-395M20.12","RP3-395M20.12",FALSE
"TNFRSF14","TNFRSF14",FALSE
"RP3-395M20.7","RP3-395M20.7",FALSE
"RP3-395M20.9","RP3-395M20.9",FALSE
"FAM213B","FAM213B",FALSE
"MMEL1","MMEL1",FALSE
"RP13-436F16.1","RP13-436F16.1",FALSE
"TTC34","TTC34",FALSE
"RP11-740P5.2","RP11-740P5.2",FALSE
"RP11-740P5.3","RP11-740P5.3",FALSE
"ACTRT2","ACTRT2",FALSE
"LINC00982","LINC00982",FALSE
"PRDM16","PRDM16",FALSE
"RP1-163G9.2","RP1-163G9.2",FALSE
"RP11-22L13.1","RP11-22L13.1",FALSE
"ARHGEF16","ARHGEF16",FALSE
"RP11-168F9.2","RP11-168F9.2",FALSE
"MEGF6","MEGF6",FALSE
"RP11-46F15.2","RP11-46F15.2",FALSE
"TPRG1L","TPRG1L",FALSE
"WRAP73","WRAP73",FALSE
"TP73","TP73",FALSE
"RP5-1092A11.5","RP5-1092A11.5",FALSE
"RP5-1092A11.2","RP5-1092A11.2",FALSE
"TP73-AS1","TP73-AS1",FALSE
"CCDC27","CCDC27",FALSE
"SMIM1","SMIM1",FALSE
"LRRC47","LRRC47",FALSE
"RP1-286D6.5","RP1-286D6.5",FALSE
"CEP104","CEP104",FALSE
"DFFB","DFFB",FALSE
"C1orf174","C1orf174",FALSE
"LINC01134","LINC01134",FALSE
"RP13-614K11.1","RP13-614K11.1",FALSE
"RP13-614K11.2","RP13-614K11.2",FALSE
"RP5-1166F10.1","RP5-1166F10.1",FALSE
"RP1-37J18.1","RP1-37J18.1",FALSE
"RP1-37J18.2","RP1-37J18.2",FALSE
"AJAP1","AJAP1",FALSE
"RP11-542C10.1","RP11-542C10.1",FALSE
"RP1-58B11.1","RP1-58B11.1",FALSE
"RP11-154H17.1","RP11-154H17.1",FALSE
"NPHP4","NPHP4",FALSE
"KCNAB2","KCNAB2",FALSE
"AL035406.1","AL035406.1",FALSE
"CHD5","CHD5",FALSE
"RPL22","RPL22",FALSE
"RP1-120G22.11","RP1-120G22.11",FALSE
"RNF207","RNF207",FALSE
"ICMT","ICMT",FALSE
"LINC00337","LINC00337",FALSE
"HES3","HES3",FALSE
"GPR153","GPR153",FALSE
"ACOT7","ACOT7",FALSE
"RP1-202O8.3","RP1-202O8.3",FALSE
"HES2","HES2",FALSE
"ESPN","ESPN",FALSE
"RP1-202O8.2","RP1-202O8.2",FALSE
"TNFRSF25","TNFRSF25",FALSE
"PLEKHG5","PLEKHG5",FALSE
"NOL9","NOL9",FALSE
"TAS1R1","TAS1R1",FALSE
"ZBTB48","ZBTB48",FALSE
"KLHL21","KLHL21",FALSE
"PHF13","PHF13",FALSE
"THAP3","THAP3",FALSE
"DNAJC11","DNAJC11",FALSE
"RP11-242F24.1","RP11-242F24.1",FALSE
"RP11-312B8.1","RP11-312B8.1",FALSE
"CAMTA1","CAMTA1",FALSE
"RP11-334N17.1","RP11-334N17.1",FALSE
"RP3-453P22.2","RP3-453P22.2",FALSE
"RP4-549F15.1","RP4-549F15.1",FALSE
"RP11-338N10.1","RP11-338N10.1",FALSE
"RP11-338N10.2","RP11-338N10.2",FALSE
"RP11-338N10.3","RP11-338N10.3",FALSE
"VAMP3","VAMP3",FALSE
"PER3","PER3",FALSE
"RP3-467L1.4","RP3-467L1.4",FALSE
"UTS2","UTS2",FALSE
"TNFRSF9","TNFRSF9",FALSE
"PARK7","PARK7",FALSE
"ERRFI1","ERRFI1",FALSE
"RP11-431K24.1","RP11-431K24.1",FALSE
"RP11-431K24.3","RP11-431K24.3",FALSE
"RP11-431K24.4","RP11-431K24.4",FALSE
"SLC45A1","SLC45A1",FALSE
"RERE","RERE",FALSE
"RP5-1115A15.1","RP5-1115A15.1",FALSE
"RP4-633I8.4","RP4-633I8.4",FALSE
